mass_A
t	x	y
0.000000000E0	9.620000000E2	3.100000000E2
6.673333333E-2	9.619510611E2	3.100186463E2
8.341666667E-2	9.619419023E2	3.100216104E2
1.001000000E-1	9.619268533E2	3.100188085E2
1.167833333E-1	9.619475134E2	3.100209692E2
1.334666667E-1	9.619900776E2	3.100118110E2
1.501500000E-1	9.619446440E2	3.100041104E2
1.668333333E-1	9.620215092E2	3.100069436E2
1.835166667E-1	9.619907482E2	3.100097964E2
2.002000000E-1	9.619604999E2	3.100148915E2
2.168833333E-1	9.619992732E2	3.100217046E2
2.335666667E-1	9.619973817E2	3.100080348E2
2.502500000E-1	9.620287005E2	3.100235002E2
2.669333333E-1	9.620159553E2	3.100155509E2
2.836166667E-1	9.621220496E2	3.100082698E2
3.003000000E-1	9.620454507E2	3.100169741E2
3.169833333E-1	9.619742725E2	3.100313295E2
3.336666667E-1	9.620271272E2	3.100268250E2
3.503500000E-1	9.619842844E2	3.100326937E2
3.670333333E-1	9.620122133E2	3.100161575E2
3.837166667E-1	9.620128779E2	3.100412911E2
4.004000000E-1	9.619131323E2	3.100181485E2
4.170833333E-1	9.620195570E2	3.100128833E2
4.337666667E-1	9.619258372E2	3.100324683E2
4.504500000E-1	9.619508229E2	3.100301206E2
4.671333333E-1	9.618552561E2	3.100430387E2
4.838166667E-1	9.619796434E2	3.100215867E2
5.005000000E-1	9.619226349E2	3.100385244E2
5.171833333E-1	9.618533504E2	3.100233051E2
5.338666667E-1	9.617359118E2	3.100358794E2
5.505500000E-1	9.617853059E2	3.100192175E2
5.672333333E-1	9.618173738E2	3.100232412E2
5.839166667E-1	9.619211948E2	3.100080257E2
6.006000000E-1	9.619539546E2	3.100107259E2
6.172833333E-1	9.619705796E2	3.100137651E2
6.339666667E-1	9.619921110E2	3.100300282E2
6.506500000E-1	9.618425043E2	3.100272980E2
6.673333333E-1	9.619665045E2	3.100315087E2
6.840166667E-1	9.618510401E2	3.100400964E2
7.007000000E-1	9.620140068E2	3.100249027E2
7.173833333E-1	9.619733939E2	3.100342103E2
7.340666667E-1	9.619336768E2	3.100261833E2
7.507500000E-1	9.618938028E2	3.100385880E2
7.674333333E-1	9.619000289E2	3.100164721E2
7.841166667E-1	9.618254564E2	3.100418881E2
8.008000000E-1	9.618517974E2	3.100309431E2
8.174833333E-1	9.618528837E2	3.100414142E2
8.341666667E-1	9.619484721E2	3.100252894E2
8.508500000E-1	9.618820309E2	3.100303039E2
8.675333333E-1	9.619141322E2	3.100215207E2
8.842166667E-1	9.619552740E2	3.100310188E2
9.009000000E-1	9.618560817E2	3.100193353E2
9.175833333E-1	9.619180130E2	3.100311022E2
9.342666667E-1	9.619369850E2	3.100175395E2
9.509500000E-1	9.618727903E2	3.100177064E2
9.676333333E-1	9.618877262E2	3.100126881E2
9.843166667E-1	9.618940445E2	3.100105860E2
1.001000000E0	9.618222402E2	3.100053913E2
1.017683333E0	9.620301260E2	3.100335808E2
1.034366667E0	9.618771311E2	3.100787635E2
1.051050000E0	9.620834633E2	3.100245228E2
1.067733333E0	9.620491436E2	3.100152623E2
1.084416667E0	9.619238612E2	3.100141446E2
1.101100000E0	9.620139862E2	3.100186831E2
1.117783333E0	9.619046997E2	3.100061193E2
1.134466667E0	9.620267732E2	3.099755863E2
1.151150000E0	9.618610384E2	3.099983854E2
1.167833333E0	9.617455722E2	3.100199440E2
1.184516667E0	9.619730608E2	3.099957341E2
1.201200000E0	9.619471940E2	3.100009363E2
1.217883333E0	9.619124765E2	3.100149213E2
1.234566667E0	9.618958507E2	3.100187012E2
1.251250000E0	9.617875108E2	3.100248765E2
1.267933333E0	9.618527307E2	3.100121352E2
1.284616667E0	9.618716141E2	3.100192221E2
1.301300000E0	9.619709563E2	3.100042460E2
1.317983333E0	9.619031944E2	3.099998514E2
1.334666667E0	9.619221129E2	3.100141882E2
1.351350000E0	9.619043089E2	3.100129390E2
1.368033333E0	9.619078021E2	3.100217895E2
1.384716667E0	9.618571150E2	3.100196161E2
1.401400000E0	9.618968106E2	3.100155823E2
1.418083333E0	9.618670718E2	3.100482743E2
1.434766667E0	9.618487922E2	3.100387474E2
1.451450000E0	9.618319838E2	3.100408592E2
1.468133333E0	9.618417870E2	3.100392702E2
1.484816667E0	9.618348587E2	3.100335585E2
1.501500000E0	9.619251060E2	3.100208900E2
1.518183333E0	9.616206864E2	3.100628964E2
1.534866667E0	9.617857407E2	3.100467702E2
1.551550000E0	9.618006305E2	3.100459372E2
1.568233333E0	9.619412399E2	3.100406514E2
1.584916667E0	9.619247842E2	3.100243274E2
1.601600000E0	9.618678566E2	3.100423347E2
1.618283333E0	9.619826749E2	3.100255608E2
1.634966667E0	9.619992358E2	3.100307612E2
1.651650000E0	9.619841113E2	3.100438678E2
1.668333333E0	9.619420602E2	3.100280021E2
1.685016667E0	9.619195382E2	3.100219793E2
1.701700000E0	9.619963710E2	3.100247221E2
1.718383333E0	9.619554669E2	3.100215172E2
1.735066667E0	9.619830904E2	3.100123763E2
1.751750000E0	9.619671013E2	3.100237758E2
1.768433333E0	9.620727208E2	3.099994076E2
1.785116667E0	9.619622960E2	3.100133339E2
1.801800000E0	9.620175572E2	3.100085257E2
1.818483333E0	9.619951756E2	3.100161500E2
1.835166667E0	9.619729404E2	3.100176317E2
1.851850000E0	9.619022897E2	3.100147501E2
1.868533333E0	9.619634743E2	3.100218004E2
1.885216667E0	9.619485523E2	3.100204627E2
1.901900000E0	9.619126487E2	3.100253247E2
1.918583333E0	9.620680133E2	3.099932841E2
1.935266667E0	9.620263772E2	3.100134218E2
1.951950000E0	9.620279483E2	3.100134580E2
1.968633333E0	9.619298273E2	3.100258508E2
1.985316667E0	9.620544644E2	3.100058111E2
2.002000000E0	9.620599525E2	3.100178989E2
2.018683333E0	9.620649102E2	3.100190201E2
2.035366667E0	9.619519160E2	3.100011959E2
2.052050000E0	9.621047141E2	3.100053407E2
2.068733333E0	9.619212971E2	3.100304315E2
2.085416667E0	9.619580081E2	3.100128616E2
2.102100000E0	9.619031738E2	3.100339966E2
2.118783333E0	9.619241858E2	3.100071201E2
2.135466667E0	9.619399554E2	3.099966718E2
2.152150000E0	9.619102377E2	3.099867965E2
2.168833333E0	9.615752828E2	3.100315589E2
2.185516667E0	9.617778256E2	3.100338016E2
