mass_A
t	x	y
3.843840000E1	1.664084045E3	1.007078135E3
3.845508333E1	1.664361315E3	1.008979828E3
3.847176667E1	1.665059353E3	1.009325095E3
3.848845000E1	1.665615563E3	1.009138737E3
3.850513333E1	1.666029117E3	1.008165659E3
3.852181667E1	1.666127975E3	1.006802315E3
3.853850000E1	1.666172830E3	1.004966084E3
3.855518333E1	1.666204983E3	1.003029634E3
3.857186667E1	1.666246876E3	1.001052375E3
3.858855000E1	1.666154941E3	9.991147601E2
3.860523333E1	1.666134835E3	9.973445426E2
3.862191667E1	1.666106113E3	9.959923580E2
3.863860000E1	1.666107287E3	9.951380455E2
3.865528333E1	1.666075641E3	9.946950314E2
3.867196667E1	1.666183685E3	9.935211777E2
3.868865000E1	1.666139715E3	9.930045761E2
3.870533333E1	1.666212956E3	9.924425322E2
3.872201667E1	1.666157145E3	9.920720645E2
3.873870000E1	1.666171806E3	9.918473524E2
3.875538333E1	1.666152331E3	9.918398085E2
3.877206667E1	1.666154240E3	9.920544968E2
3.878875000E1	1.666113201E3	9.929657319E2
3.880543333E1	1.666133461E3	9.941169266E2
3.882211667E1	1.666086431E3	9.957057655E2
3.883880000E1	1.666096591E3	9.970097780E2
3.885548333E1	1.666108502E3	9.979885165E2
3.887216667E1	1.666131764E3	9.981796541E2
3.888885000E1	1.666142497E3	9.983650363E2
3.890553333E1	1.666059657E3	9.989908498E2
3.892221667E1	1.666025327E3	1.000019783E3
3.893890000E1	1.666034184E3	1.000895294E3
3.895558333E1	1.666036652E3	1.001153524E3
3.897226667E1	1.666040021E3	1.001168824E3
3.898895000E1	1.666017917E3	1.001070217E3
3.900563333E1	1.666002373E3	1.001019124E3
3.902231667E1	1.666005493E3	1.001021382E3
3.903900000E1	1.665978450E3	1.000970892E3
3.905568333E1	1.665973519E3	1.000395883E3
3.907236667E1	1.665940407E3	9.990491980E2
3.908905000E1	1.665883626E3	9.970134865E2
3.910573333E1	1.665906266E3	9.934636964E2
3.912241667E1	1.665557576E3	9.888771258E2
3.913910000E1	1.665040966E3	9.812506081E2
3.915578333E1	1.664249137E3	9.694317046E2
3.917246667E1	1.663106889E3	9.473091771E2
3.918915000E1	1.661843686E3	9.192142866E2
3.920583333E1	1.657905046E3	8.832658343E2
3.922251667E1	1.650661745E3	8.387896398E2
3.923920000E1	1.638122323E3	7.854236205E2
3.925588333E1	1.617393529E3	7.260202573E2
3.927256667E1	1.585977931E3	6.611802392E2
3.928925000E1	1.540874899E3	5.922403641E2
3.930593333E1	1.481319982E3	5.230041313E2
3.932261667E1	1.409546269E3	4.588220262E2
3.933930000E1	1.323780791E3	4.022949430E2
3.935598333E1	1.226589942E3	3.572783831E2
3.937266667E1	1.122499265E3	3.273305274E2
3.938935000E1	1.015453967E3	3.146238317E2
3.940603333E1	9.081501868E2	3.181930279E2
3.942271667E1	8.045570164E2	3.370291697E2
3.943940000E1	7.089651026E2	3.693338462E2
3.945608333E1	6.223782838E2	4.133237552E2
3.947276667E1	5.469668277E2	4.658281709E2
3.948945000E1	4.832333728E2	5.238979571E2
3.950613333E1	4.311823345E2	5.841743893E2
3.952281667E1	3.900575117E2	6.441468885E2
3.953950000E1	3.587641785E2	7.021072381E2
3.955618333E1	3.358865761E2	7.561980394E2
3.957286667E1	3.200439917E2	8.048991687E2
3.958955000E1	3.096122094E2	8.470287170E2
3.960623333E1	3.031853344E2	8.824502001E2
3.962291667E1	2.993322846E2	9.102262493E2
3.963960000E1	2.971344467E2	9.300586974E2
3.965628333E1	2.962261757E2	9.419077045E2
3.967296667E1	2.959192367E2	9.448186071E2
3.968965000E1	2.964795569E2	9.398042867E2
3.970633333E1	2.981039551E2	9.254551911E2
3.972301667E1	3.012333788E2	9.020739711E2
3.973970000E1	3.064082491E2	8.703175217E2
3.975638333E1	3.149659438E2	8.296723146E2
3.977306667E1	3.290051334E2	7.806497752E2
3.978975000E1	3.500911776E2	7.244510796E2
3.980643333E1	3.800203127E2	6.625682941E2
3.982311667E1	4.211902562E2	5.978147831E2
3.983980000E1	4.759911603E2	5.318598962E2
3.985648333E1	5.436313733E2	4.688442870E2
3.987316667E1	6.234033179E2	4.132193084E2
3.988985000E1	7.141947963E2	3.675183652E2
3.990653333E1	8.129281522E2	3.350712400E2
3.992321667E1	9.158910034E2	3.173961677E2
3.993990000E1	1.018605811E3	3.150309072E2
3.995658333E1	1.117999696E3	3.271680109E2
3.997326667E1	1.212023141E3	3.527541325E2
3.998995000E1	1.297529175E3	3.890069498E2
4.000663333E1	1.373674516E3	4.344377918E2
4.002331667E1	1.439982214E3	4.852385289E2
4.004000000E1	1.494070619E3	5.376295636E2
4.005668333E1	1.538303520E3	5.911348079E2
4.007336667E1	1.573478059E3	6.428129981E2
4.009005000E1	1.600179308E3	6.914954961E2
4.010673333E1	1.620328118E3	7.353472343E2
4.012341667E1	1.634455914E3	7.733574986E2
4.014010000E1	1.644219600E3	8.049324557E2
4.015678333E1	1.650436572E3	8.291004549E2
4.017346667E1	1.654195031E3	8.452406802E2
4.019015000E1	1.655888389E3	8.533295599E2
4.020683333E1	1.655776200E3	8.531555036E2
4.022351667E1	1.653557150E3	8.447979199E2
4.024020000E1	1.648823939E3	8.272934161E2
4.025688333E1	1.641591017E3	8.015238396E2
4.027356667E1	1.630427405E3	7.674586137E2
4.029025000E1	1.614183855E3	7.257941174E2
4.030693333E1	1.591118226E3	6.775249361E2
4.032361667E1	1.559998614E3	6.238875225E2
4.034030000E1	1.518663074E3	5.672747661E2
4.035698333E1	1.466257961E3	5.096856122E2
4.037366667E1	1.401276481E3	4.541334304E2
4.039035000E1	1.325544012E3	4.041750396E2
4.040703333E1	1.240067453E3	3.634998697E2
4.042371667E1	1.147476843E3	3.339972742E2
4.044040000E1	1.050948326E3	3.181153985E2
4.045708333E1	9.533745206E2	3.157955442E2
4.047376667E1	8.574698113E2	3.266541307E2
4.049045000E1	7.664107368E2	3.498774935E2
4.050713333E1	6.825840928E2	3.831459961E2
4.052381667E1	6.075837085E2	4.248879717E2
4.054050000E1	5.424318917E2	4.722601143E2
4.055718333E1	4.870755883E2	5.228193938E2
4.057386667E1	4.417156364E2	5.741307469E2
4.059055000E1	4.056127942E2	6.242694431E2
4.060723333E1	3.772142683E2	6.719139150E2
4.062391667E1	3.558716289E2	7.149367749E2
4.064060000E1	3.401529856E2	7.527875014E2
4.065728333E1	3.294063458E2	7.843776075E2
4.067396667E1	3.218984670E2	8.089169625E2
4.069065000E1	3.177741726E2	8.261933421E2
4.070733333E1	3.155003343E2	8.359275621E2
4.072401667E1	3.150014284E2	8.371941210E2
4.074070000E1	3.169075664E2	8.302997053E2
4.075738333E1	3.210189387E2	8.153414417E2
4.077406667E1	3.278690302E2	7.920220061E2
4.079075000E1	3.383065648E2	7.611666523E2
4.080743333E1	3.538116920E2	7.223232306E2
4.082411667E1	3.756609296E2	6.771411787E2
4.084080000E1	4.051573522E2	6.269755121E2
4.085748333E1	4.439802047E2	5.729681651E2
4.087416667E1	4.932585324E2	5.178995908E2
4.089085000E1	5.534347633E2	4.644418993E2
4.090753333E1	6.232231153E2	4.157181870E2
4.092421667E1	7.034844447E2	3.742547301E2
