mass_A
t,x,y
5.055050000E0,9.498333333E2,5.728333333E2
5.138466667E0,9.497411425E2,5.727873606E2
5.155150000E0,9.498090244E2,5.727268571E2
5.171833333E0,9.498222648E2,5.727780907E2
5.188516667E0,9.497938476E2,5.727362684E2
5.205200000E0,9.498322412E2,5.728107689E2
5.221883333E0,9.498045603E2,5.728169895E2
5.238566667E0,9.497997849E2,5.728263182E2
5.255250000E0,9.497335175E2,5.728430317E2
5.271933333E0,9.498795543E2,5.728257210E2
5.288616667E0,9.497513393E2,5.728333045E2
5.305300000E0,9.497622588E2,5.727785706E2
5.321983333E0,9.498225044E2,5.728410275E2
5.338666667E0,9.498708843E2,5.728468508E2
5.355350000E0,9.497764256E2,5.728549855E2
5.372033333E0,9.497787187E2,5.728678939E2
5.388716667E0,9.497759250E2,5.728929953E2
5.405400000E0,9.498129323E2,5.728697446E2
5.422083333E0,9.497335396E2,5.728915621E2
5.438766667E0,9.499038306E2,5.727788984E2
5.455450000E0,9.497610710E2,5.728929560E2
5.472133333E0,9.497263833E2,5.728664994E2
5.488816667E0,9.497920259E2,5.728706506E2
5.505500000E0,9.497919695E2,5.728928674E2
5.522183333E0,9.498300889E2,5.728521343E2
5.538866667E0,9.498592727E2,5.728251206E2
5.555550000E0,9.498038322E2,5.728080272E2
5.572233333E0,9.497945345E2,5.728412012E2
5.588916667E0,9.498135079E2,5.728437856E2
5.605600000E0,9.497807804E2,5.728540346E2
5.622283333E0,9.497863659E2,5.728451694E2
5.638966667E0,9.498327629E2,5.727053454E2
5.655650000E0,9.498061139E2,5.728594913E2
5.672333333E0,9.498618489E2,5.728729396E2
5.689016667E0,9.497617007E2,5.728571031E2
5.705700000E0,9.499474796E2,5.728799471E2
5.722383333E0,9.497369499E2,5.727197047E2
5.739066667E0,9.498799141E2,5.728064986E2
5.755750000E0,9.498687227E2,5.728261638E2
5.772433333E0,9.497680226E2,5.728321433E2
5.789116667E0,9.498758538E2,5.728330346E2
5.805800000E0,9.497930377E2,5.728234070E2
5.822483333E0,9.497965851E2,5.728171782E2
5.839166667E0,9.498375102E2,5.728163826E2
5.855850000E0,9.497985004E2,5.728018927E2
5.872533333E0,9.498035866E2,5.728005183E2
5.889216667E0,9.498335072E2,5.728109522E2
5.905900000E0,9.498325073E2,5.727887548E2
5.922583333E0,9.498353721E2,5.727842543E2
5.939266667E0,9.498133088E2,5.728329877E2
5.955950000E0,9.498036397E2,5.727996246E2
5.972633333E0,9.498559743E2,5.728021164E2
5.989316667E0,9.499501665E2,5.727926193E2
6.006000000E0,9.497005678E2,5.728281906E2
6.022683333E0,9.498694427E2,5.728603009E2
6.039366667E0,9.497983089E2,5.727455155E2
6.056050000E0,9.498048687E2,5.727665667E2
6.072733333E0,9.498249399E2,5.728346605E2
6.089416667E0,9.498078943E2,5.728030154E2
6.106100000E0,9.497764861E2,5.728246731E2
6.122783333E0,9.499196640E2,5.729813146E2
6.139466667E0,9.498258915E2,5.728479441E2
6.156150000E0,9.498634699E2,5.727857171E2
6.172833333E0,9.497786312E2,5.728451163E2
6.189516667E0,9.497200494E2,5.728817944E2
6.206200000E0,9.497968224E2,5.728128448E2
6.222883333E0,9.498029389E2,5.728181010E2
6.239566667E0,9.497983581E2,5.728098495E2
6.256250000E0,9.498236168E2,5.728053989E2
6.272933333E0,9.498448154E2,5.728203032E2
6.289616667E0,9.498715499E2,5.727798174E2
6.306300000E0,9.498374510E2,5.727091745E2
6.322983333E0,9.499006189E2,5.727981841E2
6.339666667E0,9.499722557E2,5.727642632E2
6.356350000E0,9.499515700E2,5.728281626E2
6.373033333E0,9.499124851E2,5.727635095E2
6.389716667E0,9.498650138E2,5.727871443E2
6.406400000E0,9.498528417E2,5.727412016E2
6.423083333E0,9.498476527E2,5.727387870E2
6.439766667E0,9.498587759E2,5.727947697E2
6.456450000E0,9.498420929E2,5.727505820E2
6.473133333E0,9.498767567E2,5.727701263E2
6.489816667E0,9.499050522E2,5.727805945E2
6.506500000E0,9.499731134E2,5.727994396E2
6.523183333E0,9.500720118E2,5.726852911E2
6.539866667E0,9.499555976E2,5.726622432E2
6.556550000E0,9.499309776E2,5.727289396E2
6.573233333E0,9.497002752E2,5.726227667E2
6.589916667E0,9.498268253E2,5.726983515E2
6.606600000E0,9.497758139E2,5.726903044E2
6.623283333E0,9.495847086E2,5.723087704E2
6.639966667E0,9.493840330E2,5.719418170E2
6.656650000E0,9.492379973E2,5.716634049E2
6.673333333E0,9.489043507E2,5.714492811E2
6.690016667E0,9.489216203E2,5.708310868E2
6.706700000E0,9.487090239E2,5.700360023E2
6.723383333E0,9.485392079E2,5.691844438E2
6.740066667E0,9.484887869E2,5.680731543E2
6.756750000E0,9.481606822E2,5.671570955E2
6.773433333E0,9.481242741E2,5.664234944E2
6.790116667E0,9.479772576E2,5.656445866E2
6.806800000E0,9.480765061E2,5.645362802E2
6.823483333E0,9.480379596E2,5.628703822E2
6.840166667E0,9.480514706E2,5.617432503E2
6.856850000E0,9.481045512E2,5.604108148E2
6.873533333E0,9.479833115E2,5.592229459E2
6.890216667E0,9.478371447E2,5.578451214E2
6.906900000E0,9.477972969E2,5.558948794E2
6.923583333E0,9.477922552E2,5.538371767E2
6.940266667E0,9.478177957E2,5.518871276E2
6.956950000E0,9.479926060E2,5.500876903E2
6.973633333E0,9.484982890E2,5.485931872E2
6.990316667E0,9.488040320E2,5.470580241E2
7.007000000E0,9.487655322E2,5.455306941E2
7.023683333E0,9.488571537E2,5.436110430E2
7.040366667E0,9.488484471E2,5.416578269E2
7.057050000E0,9.487937034E2,5.396996624E2
7.073733333E0,9.488655495E2,5.378842859E2
7.090416667E0,9.488093137E2,5.365887482E2
7.107100000E0,9.488348464E2,5.347853935E2
7.123783333E0,9.487247833E2,5.330190673E2
7.140466667E0,9.488203017E2,5.318209085E2
7.157150000E0,9.487872479E2,5.306386428E2
7.173833333E0,9.488194569E2,5.290095501E2
7.190516667E0,9.486556589E2,5.276559079E2
7.207200000E0,9.488454493E2,5.258476995E2
7.223883333E0,9.487367959E2,5.238879908E2
7.240566667E0,9.487262065E2,5.219937785E2
7.257250000E0,9.489235755E2,5.205653119E2
7.273933333E0,9.487538150E2,5.185914774E2
7.290616667E0,9.488750988E2,5.164242980E2
7.307300000E0,9.487758548E2,5.139275582E2
7.323983333E0,9.488132341E2,5.118073191E2
7.340666667E0,9.489464152E2,5.096165910E2
7.357350000E0,9.487563089E2,5.072897727E2
7.374033333E0,9.489042619E2,5.049599100E2
7.390716667E0,9.489397085E2,5.027478662E2
7.407400000E0,9.488085820E2,5.003125534E2
7.424083333E0,9.488742759E2,4.979485180E2
7.440766667E0,9.488798106E2,4.957284565E2
7.457450000E0,9.488473669E2,4.938606048E2
7.474133333E0,9.488197373E2,4.918233250E2
7.490816667E0,9.488549009E2,4.895023180E2
7.507500000E0,9.487707127E2,4.866671200E2
7.524183333E0,9.486405630E2,4.834849972E2
7.540866667E0,9.484726092E2,4.806858450E2
7.557550000E0,9.487609637E2,4.773920824E2
7.574233333E0,9.487343473E2,4.741015854E2
7.590916667E0,9.487039815E2,4.704002308E2
7.607600000E0,9.487793718E2,4.666903822E2
7.624283333E0,9.486483518E2,4.622733715E2
7.640966667E0,9.487038097E2,4.587543008E2
7.657650000E0,9.486563181E2,4.556496714E2
7.674333333E0,9.487198502E2,4.527577453E2
7.691016667E0,9.486443149E2,4.498190783E2
7.707700000E0,9.486824000E2,4.468266341E2
7.724383333E0,9.487761575E2,4.439613784E2
7.741066667E0,9.488145117E2,4.409584217E2
7.757750000E0,9.487293059E2,4.378330438E2
7.774433333E0,9.486038898E2,4.346296785E2
7.791116667E0,9.486531061E2,4.313618082E2
7.807800000E0,9.486997608E2,4.286659882E2
7.824483333E0,9.487268815E2,4.254150171E2
7.841166667E0,9.487989914E2,4.221538279E2
7.857850000E0,9.487806803E2,4.187992975E2
7.874533333E0,9.487633040E2,4.158140903E2
7.891216667E0,9.485132102E2,4.128658229E2
7.907900000E0,9.482681632E2,4.101195165E2
7.924583333E0,9.479799559E2,4.077262543E2
7.941266667E0,9.477879773E2,4.049143361E2
7.957950000E0,9.478774609E2,4.018956202E2
7.974633333E0,9.477818554E2,3.990598778E2
7.991316667E0,9.478042990E2,3.966600967E2
8.008000000E0,9.479030574E2,3.945568027E2
8.024683333E0,9.479206302E2,3.919589280E2
8.041366667E0,9.478639192E2,3.895433622E2
