mass_A
t	x	y
1.278610667E2	1.688701754E3	1.025052632E3
1.278777500E2	1.686975335E3	1.027151040E3
1.278944333E2	1.686381518E3	1.027187491E3
1.279111167E2	1.686412196E3	1.027317187E3
1.279278000E2	1.686341040E3	1.028628355E3
1.279444833E2	1.685555973E3	1.030924730E3
1.279611667E2	1.685400512E3	1.032905825E3
1.279778500E2	1.685464355E3	1.034834455E3
1.279945333E2	1.685342848E3	1.036725628E3
1.280112167E2	1.685522559E3	1.037282513E3
1.280279000E2	1.685656014E3	1.037564536E3
1.280445833E2	1.685732861E3	1.037129535E3
1.280612667E2	1.685724766E3	1.035103291E3
1.280779500E2	1.685631094E3	1.032953375E3
1.280946333E2	1.685537652E3	1.030842238E3
1.281113167E2	1.685641176E3	1.028411552E3
1.281280000E2	1.685676291E3	1.026266392E3
1.281446833E2	1.685798747E3	1.023473852E3
1.281613667E2	1.685824306E3	1.021926877E3
1.281780500E2	1.686479651E3	1.019152613E3
1.281947333E2	1.686658389E3	1.018101872E3
1.282114167E2	1.687009830E3	1.017061470E3
1.282281000E2	1.686770559E3	1.014964746E3
1.282447833E2	1.686755003E3	1.013176389E3
1.282614667E2	1.686583591E3	1.010812560E3
1.282781500E2	1.686562228E3	1.007640088E3
1.282948333E2	1.686631866E3	1.005152689E3
1.283115167E2	1.686660682E3	1.002734313E3
1.283282000E2	1.686766960E3	1.000070215E3
1.283448833E2	1.686769137E3	9.980624821E2
1.283615667E2	1.686786045E3	9.963717668E2
1.283782500E2	1.686818517E3	9.950941615E2
1.283949333E2	1.686724608E3	9.932905319E2
1.284116167E2	1.686729093E3	9.901021949E2
1.284283000E2	1.684812964E3	9.815723918E2
1.284449833E2	1.682428819E3	9.627323006E2
1.284616667E2	1.680755191E3	9.356518996E2
1.284783500E2	1.676967159E3	9.036508501E2
1.284950333E2	1.672270316E3	8.597516621E2
1.285117167E2	1.660529724E3	8.076628111E2
1.285284000E2	1.642033422E3	7.481755315E2
1.285450833E2	1.613039369E3	6.839262887E2
1.285617667E2	1.572439013E3	6.153359349E2
1.285784500E2	1.516419598E3	5.447512316E2
1.285951333E2	1.446843785E3	4.772851746E2
1.286118167E2	1.364237457E3	4.169299456E2
1.286285000E2	1.268865805E3	3.670685118E2
1.286451833E2	1.164689033E3	3.325240210E2
1.286618667E2	1.056080038E3	3.137710147E2
1.286785500E2	9.458220821E2	3.124212718E2
1.286952333E2	8.399922177E2	3.277782629E2
1.287119167E2	7.413785254E2	3.562788414E2
1.287286000E2	6.504804814E2	3.980080968E2
1.287452833E2	5.704329408E2	4.492479397E2
1.287619667E2	5.024552139E2	5.063100024E2
1.287786500E2	4.464900547E2	5.663623255E2
1.287953333E2	4.010193287E2	6.280804012E2
1.288120167E2	3.666486510E2	6.880706904E2
