mass_A
t	x	y
6.893553333E1	1.672000000E3	9.940000000E2
6.895221667E1	1.672003766E3	1.000246615E3
6.896890000E1	1.671926036E3	1.005993115E3
6.898558333E1	1.671844064E3	1.009988630E3
6.900226667E1	1.671916583E3	1.012409834E3
6.901895000E1	1.671918404E3	1.014147738E3
6.903563333E1	1.671707387E3	1.015559619E3
6.905231667E1	1.671764476E3	1.015703545E3
6.906900000E1	1.671975480E3	1.014234353E3
6.908568333E1	1.671822845E3	1.013608461E3
6.910236667E1	1.671939581E3	1.011859557E3
6.911905000E1	1.671957307E3	1.010020446E3
6.913573333E1	1.672014344E3	1.008261121E3
6.915241667E1	1.671928886E3	1.007731815E3
6.916910000E1	1.671937262E3	1.006518257E3
6.918578333E1	1.672055210E3	1.006952556E3
6.920246667E1	1.672037132E3	1.006939986E3
6.921915000E1	1.672148315E3	1.007323039E3
6.923583333E1	1.672054406E3	1.007575788E3
6.925251667E1	1.672144526E3	1.008430112E3
6.926920000E1	1.672016279E3	1.009696155E3
6.928588333E1	1.672066716E3	1.010628936E3
6.930256667E1	1.671988459E3	1.011712644E3
6.931925000E1	1.672022369E3	1.012903190E3
6.933593333E1	1.671981713E3	1.013782165E3
6.935261667E1	1.671930150E3	1.014802063E3
6.936930000E1	1.671852264E3	1.015688291E3
6.938598333E1	1.671977553E3	1.016239506E3
6.940266667E1	1.671863768E3	1.016673666E3
6.941935000E1	1.671805283E3	1.016848736E3
6.943603333E1	1.671784947E3	1.016739370E3
6.945271667E1	1.671771694E3	1.016364308E3
6.946940000E1	1.671533129E3	1.015639288E3
6.948608333E1	1.671772623E3	1.015058489E3
6.950276667E1	1.671837949E3	1.014250825E3
6.951945000E1	1.671221241E3	1.013963227E3
6.953613333E1	1.671089964E3	1.012985891E3
6.955281667E1	1.670816293E3	1.011960410E3
6.956950000E1	1.670882388E3	1.011069509E3
6.958618333E1	1.670914256E3	1.009690851E3
6.960286667E1	1.670821332E3	1.009042827E3
6.961955000E1	1.670916818E3	1.007821390E3
6.963623333E1	1.671008344E3	1.006896184E3
6.965291667E1	1.670923639E3	1.005715071E3
6.966960000E1	1.671105448E3	1.004409735E3
6.968628333E1	1.670988977E3	1.003090162E3
6.970296667E1	1.670986062E3	1.001978198E3
6.971965000E1	1.670984641E3	1.001118108E3
6.973633333E1	1.670949726E3	1.000598623E3
6.975301667E1	1.671073259E3	1.000113598E3
6.976970000E1	1.671015630E3	1.000011216E3
6.978638333E1	1.670990759E3	9.994062683E2
6.980306667E1	1.670922962E3	9.985849429E2
6.981975000E1	1.670891813E3	9.977418073E2
6.983643333E1	1.670751284E3	9.960012888E2
6.985311667E1	1.669831586E3	9.925407629E2
6.986980000E1	1.669381285E3	9.868346821E2
6.988648333E1	1.669887487E3	9.749897859E2
6.990316667E1	1.670964478E3	9.551404521E2
6.991985000E1	1.670916509E3	9.254169139E2
6.993653333E1	1.668332975E3	8.897330364E2
6.995321667E1	1.661265355E3	8.448897693E2
6.996990000E1	1.648183321E3	7.920039481E2
6.998658333E1	1.626635560E3	7.309669654E2
7.000326667E1	1.594582459E3	6.649783132E2
7.001995000E1	1.549317111E3	5.949013659E2
7.003663333E1	1.490284807E3	5.249432229E2
7.005331667E1	1.417052284E3	4.593190651E2
7.007000000E1	1.330310264E3	4.011607906E2
7.008668333E1	1.232634598E3	3.558960302E2
7.010336667E1	1.126328851E3	3.252642791E2
7.012005000E1	1.018318373E3	3.118732936E2
7.013673333E1	9.087666394E2	3.154431711E2
7.015341667E1	8.042244563E2	3.345269691E2
7.017010000E1	7.074033241E2	3.673300573E2
7.018678333E1	6.197372030E2	4.116090316E2
7.020346667E1	5.435643793E2	4.650340114E2
7.022015000E1	4.799919435E2	5.232987940E2
7.023683333E1	4.263453952E2	5.848880427E2
7.025351667E1	3.863536869E2	6.452133244E2
7.027020000E1	3.537753180E2	7.047152173E2
7.028688333E1	3.319112153E2	7.589908871E2
7.030356667E1	3.144211711E2	8.089727802E2
7.032025000E1	3.056947195E2	8.509407458E2
7.033693333E1	2.982234885E2	8.870987508E2
7.035361667E1	2.956666881E2	9.147699757E2
7.037030000E1	2.940955229E2	9.349832511E2
7.038698333E1	2.924344977E2	9.470811162E2
7.040366667E1	2.920035457E2	9.508465798E2
7.042035000E1	2.935401358E2	9.449065016E2
7.043703333E1	2.942296254E2	9.311233610E2
7.045371667E1	2.960790007E2	9.088032210E2
7.047040000E1	3.016528707E2	8.767972098E2
7.048708333E1	3.104725713E2	8.354918764E2
7.050376667E1	3.238559503E2	7.867771902E2
7.052045000E1	3.439954319E2	7.306907197E2
7.053713333E1	3.735795540E2	6.686293290E2
7.055381667E1	4.143703351E2	6.029529308E2
7.057050000E1	4.698446286E2	5.351806644E2
7.058718333E1	5.376532648E2	4.712177794E2
7.060386667E1	6.167214341E2	4.147503131E2
7.062055000E1	7.081222335E2	3.672993484E2
7.063723333E1	8.075901694E2	3.342724676E2
7.065391667E1	9.114866662E2	3.151652740E2
7.067060000E1	1.015880283E3	3.123428088E2
7.068728333E1	1.117145552E3	3.240830565E2
7.070396667E1	1.212043746E3	3.492489146E2
7.072065000E1	1.299754847E3	3.860294537E2
7.073733333E1	1.376622994E3	4.311293161E2
7.075401667E1	1.443594889E3	4.820335289E2
7.077070000E1	1.499927450E3	5.362208377E2
7.078738333E1	1.544984366E3	5.901563548E2
7.080406667E1	1.580458077E3	6.428454237E2
7.082075000E1	1.608334267E3	6.926860401E2
7.083743333E1	1.628438110E3	7.382804110E2
7.085411667E1	1.642735343E3	7.765997154E2
7.087080000E1	1.652748910E3	8.083948729E2
7.088748333E1	1.659001466E3	8.327852601E2
7.090416667E1	1.662987780E3	8.499758035E2
7.092085000E1	1.664881533E3	8.589918776E2
7.093753333E1	1.664838931E3	8.592718145E2
7.095421667E1	1.662944919E3	8.511971857E2
7.097090000E1	1.658702839E3	8.346510815E2
7.098758333E1	1.651142986E3	8.092216211E2
7.100426667E1	1.640746218E3	7.751227410E2
7.102095000E1	1.624878542E3	7.334653646E2
7.103763333E1	1.602410012E3	6.849660824E2
7.105431667E1	1.571367942E3	6.310895369E2
7.107100000E1	1.530833401E3	5.739067074E2
7.108768333E1	1.478839489E3	5.155082829E2
7.110436667E1	1.413853652E3	4.588582792E2
7.112105000E1	1.338857916E3	4.078594603E2
7.113773333E1	1.252865393E3	3.652391566E2
7.115441667E1	1.159748515E3	3.342197560E2
7.117110000E1	1.062081756E3	3.164092353E2
7.118778333E1	9.633227638E2	3.123937428E2
7.120446667E1	8.659471518E2	3.222376982E2
7.122115000E1	7.733479422E2	3.443523637E2
7.123783333E1	6.887888652E2	3.775980447E2
7.125451667E1	6.131109827E2	4.183789823E2
7.127120000E1	5.458154311E2	4.659933494E2
7.128788333E1	4.905801301E2	5.162570113E2
7.130456667E1	4.440173056E2	5.681715977E2
7.132125000E1	4.060387794E2	6.198383124E2
7.133793333E1	3.777591240E2	6.679033689E2
7.135461667E1	3.561044416E2	7.118263971E2
7.137130000E1	3.406594623E2	7.500529655E2
7.138798333E1	3.296349072E2	7.819890512E2
7.140466667E1	3.219001074E2	8.079256807E2
7.142135000E1	3.176726137E2	8.259114473E2
7.143803333E1	3.155815265E2	8.359782257E2
7.145471667E1	3.147272498E2	8.380986054E2
7.147140000E1	3.163731272E2	8.320857219E2
7.148808333E1	3.200426278E2	8.180190275E2
7.150476667E1	3.260665031E2	7.959552835E2
7.152145000E1	3.360076716E2	7.659356599E2
7.153813333E1	3.501369366E2	7.278550518E2
7.155481667E1	3.703413705E2	6.838122605E2
7.157150000E1	3.982759343E2	6.338440986E2
7.158818333E1	4.359973091E2	5.797222279E2
7.160486667E1	4.839929020E2	5.237616381E2
7.162155000E1	5.421490635E2	4.697552408E2
7.163823333E1	6.120246479E2	4.196135206E2
7.165491667E1	6.919061477E2	3.761578817E2
7.167160000E1	7.795433073E2	3.423968175E2
7.168828333E1	8.721483005E2	3.216100282E2
7.170496667E1	9.659885297E2	3.121856655E2
7.172165000E1	1.059714668E3	3.161334003E2
7.173833333E1	1.149821680E3	3.319411274E2
7.175501667E1	1.233750224E3	3.580516303E2
7.177170000E1	1.309991023E3	3.920904415E2
7.178838333E1	1.377791192E3	4.324193829E2
7.180506667E1	1.437714070E3	4.777582820E2
7.182175000E1	1.486746960E3	5.238502129E2
7.183843333E1	1.526692490E3	5.681858178E2
7.185511667E1	1.559702952E3	6.120142050E2
7.187180000E1	1.585003263E3	6.518915385E2
7.188848333E1	1.604604350E3	6.877634847E2
7.190516667E1	1.618539850E3	7.162331077E2
7.192185000E1	1.628576510E3	7.396996178E2
7.193853333E1	1.634770483E3	7.557463398E2
7.195521667E1	1.637376181E3	7.639533483E2
7.197190000E1	1.637613881E3	7.642247550E2
7.198858333E1	1.634846591E3	7.576581667E2
7.200526667E1	1.628826682E3	7.419728157E2
7.202195000E1	1.618739632E3	7.183255210E2
7.203863333E1	1.603931333E3	6.893899979E2
7.205531667E1	1.583751835E3	6.523640384E2
