mass_A
t,x,y
0.000000000E0,9.536666667E2,1.180833333E2
6.673333333E-2,9.536771973E2,1.180827103E2
8.341666667E-2,9.536770209E2,1.180826363E2
1.001000000E-1,9.536783755E2,1.180827890E2
1.167833333E-1,9.540154320E2,1.180572308E2
1.334666667E-1,9.539851837E2,1.177940366E2
1.501500000E-1,9.537830526E2,1.177336286E2
1.668333333E-1,9.537229669E2,1.180652014E2
1.835166667E-1,9.536376377E2,1.181254061E2
2.002000000E-1,9.532491404E2,1.182111979E2
2.168833333E-1,9.534544787E2,1.183295140E2
2.335666667E-1,9.535973095E2,1.182684471E2
2.502500000E-1,9.536475457E2,1.180980612E2
2.669333333E-1,9.536658599E2,1.180849087E2
2.836166667E-1,9.537126509E2,1.180809178E2
3.003000000E-1,9.536658451E2,1.180904064E2
3.169833333E-1,9.536554733E2,1.181046964E2
3.336666667E-1,9.536158201E2,1.181493206E2
3.503500000E-1,9.536734632E2,1.181234187E2
3.670333333E-1,9.536653074E2,1.181085611E2
3.837166667E-1,9.536656451E2,1.181029481E2
4.004000000E-1,9.536771859E2,1.181064662E2
4.170833333E-1,9.536679480E2,1.181038283E2
4.337666667E-1,9.536651459E2,1.181051444E2
4.504500000E-1,9.536679367E2,1.181056625E2
4.671333333E-1,9.536670174E2,1.181080194E2
4.838166667E-1,9.536559431E2,1.181031495E2
5.005000000E-1,9.536738722E2,1.181037242E2
5.171833333E-1,9.536353048E2,1.181311128E2
5.338666667E-1,9.535831989E2,1.181302253E2
5.505500000E-1,9.535043224E2,1.181319963E2
5.672333333E-1,9.533917600E2,1.181637046E2
5.839166667E-1,9.534322197E2,1.181429338E2
6.006000000E-1,9.533943851E2,1.181338453E2
6.172833333E-1,9.533719163E2,1.181260999E2
6.339666667E-1,9.534448924E2,1.181141856E2
6.506500000E-1,9.534683061E2,1.181056892E2
6.673333333E-1,9.534642822E2,1.180917831E2
6.840166667E-1,9.534668789E2,1.180864839E2
7.007000000E-1,9.535150649E2,1.180781418E2
7.173833333E-1,9.535239927E2,1.180793349E2
7.340666667E-1,9.535442726E2,1.180769361E2
7.507500000E-1,9.535740142E2,1.180596763E2
7.674333333E-1,9.535851268E2,1.180649662E2
7.841166667E-1,9.536191324E2,1.180702366E2
8.008000000E-1,9.536077735E2,1.180743749E2
8.174833333E-1,9.535896682E2,1.180755831E2
8.341666667E-1,9.536172400E2,1.180715687E2
8.508500000E-1,9.536181251E2,1.180649260E2
8.675333333E-1,9.536212554E2,1.180618863E2
8.842166667E-1,9.536154465E2,1.180782971E2
9.009000000E-1,9.536246541E2,1.180780848E2
9.175833333E-1,9.536335360E2,1.180752437E2
9.342666667E-1,9.536121736E2,1.180765825E2
9.509500000E-1,9.536364394E2,1.180735510E2
9.676333333E-1,9.536401713E2,1.180756922E2
9.843166667E-1,9.536194876E2,1.180775939E2
1.001000000E0,9.536363457E2,1.180762465E2
1.017683333E0,9.536316078E2,1.180831378E2
1.034366667E0,9.536362754E2,1.180839270E2
1.051050000E0,9.536363640E2,1.180834700E2
